,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
106,34545,Ba10 P6 O24 F2,mp-1214497,1.7973571432960966e-05,Fluorapatite,Ca5P3O12F,0.5293388800000116,,1,1
107,34746,Ba10 Cr6 O24 F2,mp-1214531,0.0,Fluorapatite,Ca5P3O12F,0.5385276599999997,,1,1
108,33893,Ba10 Mn6 O24 F2,mp-1214575,0.0,Fluorapatite,Ca5P3O12F,0.5570100300000149,0.6710633700000699,1,1
109,1152,Ba1 Sn1 F4,mp-1227733,0.05809448083333901,CaO4U,CaUO4,0.6351342700000089,0.6465926399999944,2,2
110,34685,Ba10 P6 O24 F2,mp-1228113,0.0,Fluorapatite,Ca5P3O12F,0.5430113799999958,0.8249477499999784,1,1
111,1284,Nd2 Te2 F2,mp-12621,0.07129779972222217,Matlockite,PbClF,0.5051386399999842,,2,2
112,13009,Co4 F12,mp-1271282,0.0,alpha Rhenium trioxide,ReO3,-0.015392490000010639,,2,3
113,3346,Co2 F6,mp-1271286,0.010794163124999478,alpha Rhenium trioxide,ReO3,0.2589118399999961,,2,3
114,12608,Co4 F12,mp-1271352,0.03668889812499998,alpha Rhenium trioxide,ReO3,-0.5633643399999926,,1,2
115,1372,Mn2 O2 F2,mp-1281811,0.07596547875000326,FeOCl,FeClO,0.7769109600000093,,1,2
116,155,La1 F3,mp-13181,0.18141721833333335,alpha bismuth trifluoride,BiF3,0.3982440899999915,,3,3
117,1979,Cs2 Ag1 F4,mp-13649,0.00669986785714638,F4K2Ni,K2NiF4,0.47704948999999885,,2,2
118,6971,K2 Na1 Cu1 F6,mp-13797,0.0,Double perovskite,Ba2MnWO6,0.9053274400000078,,0,3
119,754,K1 Ag1 F3,mp-13819,0.0,(Cubic) Perovskite,CaTiO3,0.5478134499999783,0.16095680000000812,3,3
